time,open,high,low,close,TheStrat Label 1,TheStrat Label 2,TheStrat Label 3,2-1-2 BLR,2-1-2 BLC,3-1-2 BLR,3-2-2 BLR,Rev Strat 1-2-2 BLR,2-2 BLR,2-1-2 BRR,2-1-2 BRC,3-1-2 BRR,3-2-2 BRR,Rev Strat 1-2-2 BRR,2-2 BRR,Double Inside,PMG BLR,PMG BRR,Volume
1748988000,21685.75,21802.75,21641,21747.5,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1122220
1749074400,21745.25,21936.25,21503.5,21513.5,0,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1122220
1749160800,21487.5,21880,21471,21809.75,0,1,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1218834
1749420000,21799.25,21892.5,21716.5,21821.5,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,989760
1749506400,21822,21992.25,21732,21951.5,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1237939
1749592800,21950.75,22094,21790.25,21882.75,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1525033
1749679200,21871,21977.5,21716.5,21908.25,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1242122
1749765600,21911,21920,21470.5,21654,0,1,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1677396
1750024800,21784,22224.5,21722,22163.25,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,716281
1750111200,22163.5,22177.5,21908,21953.25,1,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1234778
1750197600,21937.5,22098.75,21862.75,21961.25,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1750284000,21960.25,22130.75,21650.25,21874,0,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2056763
1750629600,21648.25,22093,21562,22072,0,1,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1569238
1750716000,22077.25,22447.75,22064.5,22409.5,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1143081
1750802400,22410.75,22548.25,22385,22472.75,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1038793
1750888800,22466,22692.75,22438,22672.75,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1038793
1750975200,22676.5,22823.75,22600,22740.25,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1223538
1751234400,22751.25,22934,22750,22865.75,0,1,,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1136495
1751320800,22866.75,22915,22593.75,22691.5,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1297870
