armed_dt,direction,entry_price,touch_dt,regime_ratio,outcome_fixed_stop
2024-12-10 00:45 ET,bear,21472.25,2024-12-10 05:00 ET,0.4947,loss
2024-12-10 06:45 ET,bull,21507.75,2024-12-10 07:00 ET,0.3966,win
2024-12-11 11:30 ET,bull,21750.0,2024-12-11 11:45 ET,0.3733,win
2024-12-11 12:15 ET,bull,21770.75,2024-12-11 12:30 ET,0.2724,win
2024-12-12 05:30 ET,bull,21736.25,2024-12-12 06:00 ET,0.3863,loss
2024-12-12 08:45 ET,bear,21696.0,2024-12-12 09:00 ET,0.4274,win
2024-12-13 03:30 ET,bull,21751.25,2024-12-13 03:45 ET,0.2421,win
2024-12-13 14:00 ET,bull,21759.0,2024-12-13 16:15 ET,0.3745,win
2024-12-13 14:30 ET,bull,21796.75,2024-12-13 14:45 ET,0.3745,loss
2024-12-16 07:15 ET,bull,21870.0,2024-12-16 07:45 ET,0.4425,win
2024-12-16 11:15 ET,bull,22019.25,2024-12-16 11:30 ET,0.4284,win
2024-12-16 13:30 ET,bull,22108.5,2024-12-16 14:00 ET,0.499,win
2024-12-16 20:30 ET,bull,22404.0,2024-12-17 00:30 ET,0.2571,loss
2024-12-17 21:15 ET,bull,22322.75,2024-12-17 21:30 ET,0.1814,win
2024-12-17 23:45 ET,bull,22332.5,2024-12-18 00:00 ET,0.2795,win
2024-12-18 03:15 ET,bull,22341.0,2024-12-18 03:30 ET,0.2205,win
2024-12-18 04:45 ET,bull,22342.25,2024-12-18 08:30 ET,0.7006,loss
2024-12-18 06:15 ET,bull,22371.0,2024-12-18 06:45 ET,0.3159,loss
2024-12-18 11:15 ET,bear,22311.25,2024-12-18 11:30 ET,0.4097,win
2024-12-19 21:15 ET,bear,21247.25,2024-12-19 21:30 ET,0.3864,win
2024-12-19 22:45 ET,bear,21232.0,2024-12-19 23:00 ET,0.399,loss
2024-12-20 11:45 ET,bull,21704.0,2024-12-20 13:15 ET,0.408,loss
2024-12-23 12:45 ET,bull,21691.25,2024-12-23 13:00 ET,0.4291,win
2024-12-24 01:45 ET,bull,21760.75,2024-12-24 03:00 ET,0.5928,win
2024-12-24 04:15 ET,bull,21779.5,2024-12-24 04:30 ET,0.7078,win
2024-12-24 07:15 ET,bull,21790.25,2024-12-24 07:30 ET,0.8967,win
2024-12-24 11:15 ET,bull,21969.0,2024-12-24 11:30 ET,0.984,win
2024-12-25 22:30 ET,bull,22096.5,2024-12-25 23:15 ET,0.4978,loss
2024-12-26 03:30 ET,bear,22009.5,2024-12-26 10:30 ET,0.678,win
2024-12-26 19:30 ET,bear,21976.25,2024-12-26 19:45 ET,1.1324,win
2024-12-26 22:30 ET,bear,21953.75,2024-12-26 22:45 ET,0.6728,win
2024-12-27 01:15 ET,bear,21938.0,2024-12-27 01:45 ET,0.6246,win
2024-12-27 03:45 ET,bear,21915.0,2024-12-27 04:00 ET,0.8469,win
2024-12-27 10:15 ET,bear,21604.5,2024-12-27 10:45 ET,1.0866,win
2024-12-29 20:15 ET,bear,21705.25,2024-12-29 20:45 ET,0.6683,win
2024-12-30 00:45 ET,bear,21663.75,2024-12-30 01:00 ET,0.7001,win
2024-12-31 07:15 ET,bull,21506.5,2024-12-31 07:30 ET,1.4921,loss
2024-12-31 13:30 ET,bear,21251.0,2024-12-31 13:45 ET,0.6084,win
2025-01-02 12:45 ET,bear,21093.25,2025-01-02 14:00 ET,0.6009,win
2025-01-02 22:15 ET,bull,21245.0,2025-01-02 22:45 ET,0.6494,win
2025-01-03 11:45 ET,bull,21458.75,2025-01-03 12:00 ET,1.0307,win
2025-01-05 21:15 ET,bull,21501.5,2025-01-05 21:30 ET,0.5553,win
2025-01-06 01:45 ET,bull,21545.25,2025-01-06 02:00 ET,0.71,win
2025-01-06 04:15 ET,bull,21634.0,2025-01-06 04:30 ET,1.0282,win
2025-01-06 05:15 ET,bull,21673.5,2025-01-06 05:30 ET,0.4927,win
2025-01-06 06:30 ET,bull,21718.5,2025-01-06 06:45 ET,0.6942,win
2025-01-06 09:45 ET,bull,21789.75,2025-01-06 10:00 ET,0.9074,win
2025-01-06 21:00 ET,bull,21767.0,2025-01-06 21:30 ET,0.4187,loss
2025-01-07 00:30 ET,bear,21699.0,2025-01-07 00:45 ET,0.7593,loss
2025-01-07 12:00 ET,bear,21471.25,2025-01-07 12:15 ET,1.2883,win
2025-01-07 13:45 ET,bear,21453.0,2025-01-07 14:00 ET,0.7245,win
2025-01-08 06:45 ET,bear,21372.25,2025-01-08 08:15 ET,0.8565,win
2025-01-08 07:30 ET,bear,21297.75,2025-01-08 08:00 ET,1.2847,ambiguous
2025-01-09 03:00 ET,bear,21255.25,2025-01-09 03:15 ET,0.7735,loss
2025-01-09 19:15 ET,bear,21215.0,2025-01-09 19:30 ET,0.9279,loss
2025-01-10 11:15 ET,bear,20974.75,2025-01-10 11:45 ET,0.7346,win
2025-01-12 22:30 ET,bear,20886.0,2025-01-12 22:45 ET,0.5487,loss
2025-01-13 00:30 ET,bear,20885.0,2025-01-13 00:45 ET,0.8561,loss
2025-01-13 04:15 ET,bear,20741.25,2025-01-13 04:30 ET,0.7827,loss
2025-01-13 11:15 ET,bear,20779.75,2025-01-13 11:30 ET,0.8154,loss
2025-01-13 23:45 ET,bull,21038.75,2025-01-14 00:00 ET,0.6673,win
2025-01-14 03:45 ET,bull,21115.5,2025-01-14 04:00 ET,0.7404,loss
2025-01-14 21:45 ET,bear,20940.75,2025-01-14 22:15 ET,0.5151,loss
2025-01-15 02:45 ET,bear,20939.0,2025-01-15 03:00 ET,0.8736,loss
2025-01-15 06:45 ET,bull,20989.0,2025-01-15 07:15 ET,1.168,win
2025-01-15 08:45 ET,bull,21272.25,2025-01-15 09:00 ET,0.9797,loss
2025-01-15 14:30 ET,bull,21409.0,2025-01-15 14:45 ET,0.7549,win
2025-01-15 19:30 ET,bull,21428.25,2025-01-15 19:45 ET,0.9473,loss
2025-01-17 06:30 ET,bull,21348.0,2025-01-17 06:45 ET,1.0394,win
2025-01-17 13:15 ET,bull,21650.75,2025-01-17 13:30 ET,0.9006,loss
2025-01-20 09:45 ET,bull,21728.75,2025-01-20 10:00 ET,0.5071,loss
2025-01-20 20:00 ET,bear,21583.5,2025-01-20 20:15 ET,0.8636,win
2025-01-21 01:45 ET,bear,21602.25,2025-01-21 02:00 ET,1.1025,loss
2025-01-21 05:00 ET,bull,21702.5,2025-01-21 05:15 ET,0.4755,loss
2025-01-21 07:30 ET,bull,21687.0,2025-01-21 07:45 ET,1.003,win
2025-01-21 09:00 ET,bull,21713.25,2025-01-21 09:15 ET,0.4817,loss
2025-01-21 19:00 ET,bull,21805.0,2025-01-21 19:15 ET,2.3544,win
2025-01-21 22:15 ET,bull,21840.5,2025-01-22 01:45 ET,0.8835,win
2025-01-21 23:45 ET,bull,21863.0,2025-01-22 00:00 ET,0.5424,win
2025-01-23 01:45 ET,bear,21946.0,2025-01-23 02:00 ET,1.0571,win
2025-01-23 03:45 ET,bear,21887.75,2025-01-23 04:00 ET,0.8118,loss
2025-01-23 20:15 ET,bull,22020.0,2025-01-23 20:30 ET,1.252,loss
2025-01-23 21:30 ET,bull,22035.5,2025-01-23 22:15 ET,0.3301,loss
2025-01-24 09:15 ET,bull,22032.5,2025-01-24 09:30 ET,0.6131,win
2025-01-26 20:45 ET,bear,21532.25,2025-01-26 21:00 ET,1.1905,win
2025-01-27 01:45 ET,bear,21404.5,2025-01-27 02:00 ET,0.8408,win
2025-01-27 02:30 ET,bear,21355.0,2025-01-27 02:45 ET,1.1518,win
2025-01-27 03:15 ET,bear,21263.5,2025-01-27 03:30 ET,0.8265,win
2025-01-27 13:00 ET,bear,21189.25,2025-01-27 13:15 ET,0.8614,win
2025-01-28 04:00 ET,bull,21370.25,2025-01-28 04:15 ET,0.9014,win
2025-01-28 05:15 ET,bull,21403.75,2025-01-28 05:30 ET,2.4238,loss
2025-01-28 08:45 ET,bear,21306.25,2025-01-28 09:00 ET,1.1418,win
2025-01-29 01:15 ET,bull,21638.75,2025-01-29 04:00 ET,0.9708,win
2025-01-29 08:30 ET,bear,21591.25,2025-01-29 08:45 ET,1.1816,win
2025-01-29 09:45 ET,bear,21550.0,2025-01-29 10:00 ET,0.7819,win
2025-01-29 20:45 ET,bull,21648.0,2025-01-30 00:00 ET,1.1672,win
2025-01-30 21:00 ET,bull,21756.0,2025-01-30 21:15 ET,0.5558,win
2025-01-31 02:15 ET,bull,21785.5,2025-01-31 02:30 ET,1.1927,loss
2025-01-31 10:15 ET,bull,21872.75,2025-01-31 12:00 ET,0.9204,win
2025-02-02 21:15 ET,bear,21067.25,2025-02-03 00:45 ET,0.6606,loss
2025-02-02 21:45 ET,bear,21032.75,2025-02-02 22:15 ET,0.6606,win
2025-02-03 10:45 ET,bull,21383.0,2025-02-03 11:00 ET,0.9024,ambiguous
2025-02-03 14:15 ET,bull,21487.75,2025-02-03 14:30 ET,0.6647,loss
2025-02-04 00:15 ET,bear,21344.75,2025-02-04 00:30 ET,1.1054,loss
2025-02-04 03:45 ET,bear,21364.75,2025-02-04 04:00 ET,0.8702,loss
2025-02-04 10:15 ET,bull,21615.0,2025-02-04 12:15 ET,1.0828,loss
2025-02-04 13:30 ET,bull,21629.25,2025-02-04 13:45 ET,0.7231,win
2025-02-04 14:15 ET,bull,21650.25,2025-02-04 14:45 ET,0.6617,ambiguous
2025-02-05 01:45 ET,bear,21522.75,2025-02-05 03:00 ET,1.1127,win
2025-02-05 03:45 ET,bear,21483.75,2025-02-05 04:00 ET,0.9309,win
2025-02-05 04:45 ET,bear,21457.25,2025-02-05 05:00 ET,0.7578,loss
2025-02-05 14:15 ET,bull,21715.0,2025-02-05 14:30 ET,0.6387,win
2025-02-05 19:15 ET,bull,21780.25,2025-02-05 19:30 ET,1.035,win
2025-02-05 21:30 ET,bull,21777.0,2025-02-05 22:00 ET,0.9001,win
2025-02-05 23:30 ET,bull,21790.0,2025-02-06 02:45 ET,0.618,loss
2025-02-06 00:30 ET,bull,21817.0,2025-02-06 01:30 ET,1.5086,loss
2025-02-06 11:15 ET,bull,21794.25,2025-02-06 11:30 ET,0.8594,loss
2025-02-06 13:00 ET,bull,21798.5,2025-02-06 14:15 ET,0.719,loss
