armed_dt,direction,entry_price,touch_dt,regime_ratio,outcome_fixed_stop
2025-04-09 09:45 ET,bull,17303.5,2025-04-09 10:45 ET,1.4277,ambiguous
2025-04-09 12:15 ET,bull,17440.25,2025-04-09 12:30 ET,2.2625,win
2025-04-11 02:15 ET,bull,18730.25,2025-04-11 02:30 ET,3.106,loss
2025-04-11 12:45 ET,bull,18721.75,2025-04-11 13:00 ET,2.773,win
2025-04-11 13:45 ET,bull,18740.75,2025-04-11 14:15 ET,6.025,win
2025-04-13 19:15 ET,bull,19012.25,2025-04-13 19:30 ET,2.072,win
2025-04-13 22:15 ET,bull,19029.25,2025-04-13 23:00 ET,1.7199,win
2025-04-14 01:00 ET,bull,19106.75,2025-04-14 01:15 ET,3.3143,win
2025-04-14 02:45 ET,bull,19115.25,2025-04-14 03:00 ET,3.0805,win
2025-04-14 08:45 ET,bull,19163.5,2025-04-14 09:30 ET,1.3737,ambiguous
2025-04-15 03:15 ET,bull,18992.0,2025-04-15 04:00 ET,3.538,loss
2025-04-15 06:15 ET,bull,18986.5,2025-04-15 06:30 ET,5.3829,loss
2025-04-15 09:45 ET,bull,19035.25,2025-04-15 10:15 ET,1.7864,ambiguous
2025-04-15 20:15 ET,bear,18696.5,2025-04-15 21:00 ET,2.4971,win
2025-04-16 01:30 ET,bear,18554.0,2025-04-16 02:15 ET,3.4368,loss
2025-04-16 12:00 ET,bear,18599.0,2025-04-16 12:15 ET,2.9849,win
2025-04-16 14:00 ET,bear,18369.75,2025-04-16 14:15 ET,2.0716,win
2025-04-16 15:15 ET,bear,18199.75,2025-04-16 15:30 ET,2.5067,ambiguous
2025-04-17 00:00 ET,bull,18530.25,2025-04-17 00:15 ET,2.5012,win
2025-04-17 01:45 ET,bull,18537.0,2025-04-17 02:00 ET,3.9513,win
2025-04-17 03:30 ET,bull,18597.0,2025-04-17 04:00 ET,3.5604,loss
2025-04-17 10:30 ET,bear,18356.0,2025-04-17 10:45 ET,2.2931,win
2025-04-17 15:15 ET,bear,18407.5,2025-04-17 15:30 ET,2.5529,win
2025-04-20 21:15 ET,bear,18288.0,2025-04-20 21:30 ET,3.7721,win
2025-04-20 22:45 ET,bear,18227.5,2025-04-20 23:00 ET,1.5949,win
2025-04-21 00:45 ET,bear,18225.5,2025-04-21 01:00 ET,2.4663,win
2025-04-21 02:45 ET,bear,18226.25,2025-04-21 03:00 ET,3.0877,win
2025-04-21 03:15 ET,bear,18188.0,2025-04-21 03:45 ET,3.5641,win
2025-04-21 07:30 ET,bear,18119.75,2025-04-21 08:00 ET,3.4123,ambiguous
2025-04-21 13:15 ET,bear,17776.0,2025-04-21 14:30 ET,6.0703,win
2025-04-22 03:00 ET,bull,18092.25,2025-04-22 03:15 ET,3.6215,loss
2025-04-22 04:45 ET,bull,18094.5,2025-04-22 05:15 ET,2.8234,loss
2025-04-22 09:00 ET,bull,18125.25,2025-04-22 09:15 ET,1.9892,win
2025-04-23 01:45 ET,bull,18730.5,2025-04-23 03:00 ET,3.4056,win
2025-04-23 04:15 ET,bull,18807.75,2025-04-23 11:45 ET,2.3687,win
2025-04-23 06:00 ET,bull,18838.75,2025-04-23 11:45 ET,1.0066,win
2025-04-23 07:00 ET,bull,18911.75,2025-04-23 07:15 ET,3.3836,loss
2025-04-23 09:45 ET,bull,18991.25,2025-04-23 10:00 ET,1.9905,win
2025-04-24 02:00 ET,bear,18737.5,2025-04-24 02:15 ET,2.0787,win
2025-04-24 04:45 ET,bear,18633.25,2025-04-24 05:00 ET,2.4005,loss
2025-04-24 10:30 ET,bull,19106.75,2025-04-24 10:45 ET,1.214,win
2025-04-24 12:30 ET,bull,19220.25,2025-04-24 12:45 ET,1.5894,win
2025-04-24 14:45 ET,bull,19291.75,2025-04-24 15:00 ET,1.3167,loss
2025-04-24 20:30 ET,bull,19428.75,2025-04-24 20:45 ET,2.108,loss
2025-04-25 07:45 ET,bear,19266.25,2025-04-25 08:00 ET,1.1084,win
2025-04-27 23:00 ET,bear,19422.25,2025-04-28 00:15 ET,2.2003,loss
2025-04-28 12:15 ET,bear,19325.0,2025-04-28 12:30 ET,1.3085,win
2025-04-28 21:00 ET,bull,19544.0,2025-04-28 21:15 ET,1.1358,win
2025-04-28 22:15 ET,bull,19602.0,2025-04-28 22:30 ET,1.3413,loss
2025-04-29 04:45 ET,bull,19579.0,2025-04-29 05:00 ET,1.7973,loss
2025-04-29 09:15 ET,bear,19430.5,2025-04-29 09:30 ET,1.3486,loss
2025-04-29 14:00 ET,bull,19650.0,2025-04-29 14:15 ET,1.0951,win
2025-04-29 21:00 ET,bear,19539.75,2025-04-29 21:15 ET,1.243,win
2025-04-29 21:45 ET,bear,19522.75,2025-04-29 22:00 ET,1.243,loss
2025-04-30 03:15 ET,bull,19573.5,2025-04-30 03:30 ET,1.4411,win
2025-04-30 05:30 ET,bull,19603.25,2025-04-30 05:45 ET,0.9451,loss
2025-04-30 08:45 ET,bear,19306.75,2025-04-30 09:15 ET,0.757,win
2025-04-30 22:30 ET,bull,19936.0,2025-04-30 22:45 ET,1.1464,win
2025-04-30 23:45 ET,bull,19953.75,2025-05-01 00:00 ET,1.4358,loss
2025-05-01 11:15 ET,bull,20073.5,2025-05-01 11:30 ET,1.2365,loss
2025-05-01 21:00 ET,bull,19914.25,2025-05-01 22:15 ET,1.1395,win
2025-05-02 03:15 ET,bull,19935.0,2025-05-02 03:30 ET,1.2476,loss
2025-05-02 12:15 ET,bull,20219.5,2025-05-02 13:00 ET,0.9616,win
2025-05-04 19:45 ET,bear,20089.75,2025-05-04 20:00 ET,1.1622,win
2025-05-04 22:00 ET,bear,20025.5,2025-05-04 22:15 ET,1.1676,loss
2025-05-05 05:00 ET,bear,20011.5,2025-05-05 05:15 ET,0.8399,win
2025-05-05 07:45 ET,bear,19989.75,2025-05-05 08:00 ET,0.9632,loss
2025-05-05 14:15 ET,bull,20155.75,2025-05-05 14:45 ET,0.9131,loss
2025-05-05 21:45 ET,bear,19968.75,2025-05-05 22:00 ET,1.3735,win
2025-05-05 22:15 ET,bear,19950.0,2025-05-05 22:30 ET,0.938,win
2025-05-06 05:15 ET,bear,19848.25,2025-05-06 05:30 ET,0.8271,loss
2025-05-06 07:30 ET,bear,19874.5,2025-05-06 10:15 ET,0.7989,win
2025-05-06 20:45 ET,bull,20080.5,2025-05-06 21:00 ET,1.5988,loss
2025-05-07 08:15 ET,bear,19950.75,2025-05-07 08:45 ET,1.4633,win
2025-05-07 09:15 ET,bear,19911.75,2025-05-07 09:30 ET,1.1324,win
2025-05-07 23:30 ET,bull,20143.5,2025-05-08 02:00 ET,0.985,win
2025-05-08 04:30 ET,bull,20201.5,2025-05-08 07:30 ET,0.6731,loss
2025-05-09 08:45 ET,bull,20225.75,2025-05-09 09:15 ET,1.3318,win
2025-05-11 19:30 ET,bull,20450.5,2025-05-11 19:45 ET,0.6227,win
2025-05-11 21:15 ET,bull,20526.25,2025-05-11 21:30 ET,1.2646,win
2025-05-12 01:45 ET,bull,20546.75,2025-05-12 02:00 ET,0.8556,win
2025-05-12 05:00 ET,bull,20874.0,2025-05-12 09:30 ET,0.605,ambiguous
2025-05-12 13:15 ET,bull,20884.0,2025-05-12 15:00 ET,0.8759,win
2025-05-13 10:15 ET,bull,21195.5,2025-05-13 10:30 ET,1.1479,win
2025-05-13 11:30 ET,bull,21272.75,2025-05-13 11:45 ET,1.2494,win
2025-05-13 12:45 ET,bull,21318.5,2025-05-13 13:00 ET,0.866,loss
2025-05-14 03:00 ET,bull,21336.75,2025-05-14 03:15 ET,1.7086,loss
2025-05-14 07:30 ET,bull,21351.25,2025-05-14 07:45 ET,0.7568,win
2025-05-14 20:00 ET,bull,21372.25,2025-05-14 20:15 ET,1.4771,loss
2025-05-14 22:45 ET,bull,21399.75,2025-05-14 23:00 ET,0.944,loss
2025-05-15 01:45 ET,bear,21334.25,2025-05-15 02:00 ET,0.9379,win
2025-05-15 21:00 ET,bear,21370.0,2025-05-15 21:30 ET,1.202,loss
2025-05-16 14:45 ET,bull,21474.0,2025-05-16 15:30 ET,0.7097,loss
2025-05-18 23:15 ET,bear,21250.5,2025-05-19 01:45 ET,1.2211,win
2025-05-18 23:45 ET,bear,21215.25,2025-05-19 00:00 ET,1.2211,loss
2025-05-19 13:15 ET,bull,21516.75,2025-05-19 13:30 ET,0.5434,loss
2025-05-20 14:30 ET,bear,21386.0,2025-05-20 15:15 ET,0.7115,loss
2025-05-21 05:45 ET,bear,21285.75,2025-05-21 06:45 ET,0.7217,loss
2025-05-21 11:15 ET,bull,21498.75,2025-05-21 11:30 ET,0.9538,win
2025-05-21 15:15 ET,bear,21150.75,2025-05-21 15:30 ET,0.7446,ambiguous
2025-05-21 21:30 ET,bear,21187.0,2025-05-21 21:45 ET,0.8491,loss
2025-05-22 10:00 ET,bull,21261.75,2025-05-22 10:15 ET,0.6746,loss
2025-05-22 19:00 ET,bear,21163.5,2025-05-22 19:15 ET,0.6733,loss
2025-05-23 02:15 ET,bear,21125.5,2025-05-23 02:30 ET,0.7251,loss
2025-05-25 23:15 ET,bull,21212.5,2025-05-25 23:30 ET,0.8701,win
2025-05-26 00:45 ET,bull,21216.75,2025-05-26 01:00 ET,0.6323,win
2025-05-26 04:00 ET,bull,21269.25,2025-05-26 04:15 ET,0.7809,loss
2025-05-26 21:15 ET,bear,21197.0,2025-05-26 21:30 ET,0.7172,win
2025-05-27 02:45 ET,bull,21240.5,2025-05-27 03:00 ET,0.8791,win
2025-05-27 12:15 ET,bull,21410.0,2025-05-27 12:30 ET,0.5116,win
2025-05-27 12:45 ET,bull,21429.75,2025-05-27 15:15 ET,0.5116,win
2025-05-27 14:00 ET,bull,21466.5,2025-05-27 14:15 ET,0.6326,loss
2025-05-28 19:15 ET,bull,21706.25,2025-05-28 19:30 ET,0.4468,win
2025-05-29 01:30 ET,bull,21801.75,2025-05-29 01:45 ET,0.928,loss
2025-05-29 04:00 ET,bull,21820.25,2025-05-29 04:15 ET,0.5009,loss
2025-05-29 10:15 ET,bear,21462.25,2025-05-29 10:30 ET,0.4571,loss
2025-05-29 12:00 ET,bear,21409.25,2025-05-29 12:15 ET,0.4885,loss
2025-05-29 21:15 ET,bear,21328.0,2025-05-29 21:30 ET,0.7399,loss
2025-05-29 23:30 ET,bear,21348.5,2025-05-29 23:45 ET,0.867,loss
2025-05-30 08:15 ET,bear,21333.5,2025-05-30 08:30 ET,0.5141,win
2025-05-30 12:45 ET,bear,21142.0,2025-05-30 13:00 ET,0.599,ambiguous
2025-06-01 23:15 ET,bear,21258.75,2025-06-02 03:00 ET,0.8497,win
2025-06-03 11:00 ET,bull,21652.25,2025-06-03 14:00 ET,0.7732,win
2025-06-03 12:45 ET,bull,21730.0,2025-06-03 13:30 ET,1.2087,loss
2025-06-04 07:00 ET,bull,21735.75,2025-06-04 07:15 ET,2.4622,loss
2025-06-04 13:15 ET,bull,21765.75,2025-06-04 13:30 ET,1.0747,loss
2025-06-04 20:30 ET,bull,21756.5,2025-06-04 20:45 ET,0.6,win
2025-06-05 11:30 ET,bull,21903.75,2025-06-05 11:45 ET,0.7437,loss
2025-06-05 13:00 ET,bear,21758.75,2025-06-05 13:15 ET,1.0822,win
2025-06-05 14:15 ET,bear,21713.25,2025-06-05 14:30 ET,0.7816,win
2025-06-06 08:45 ET,bull,21748.0,2025-06-06 09:00 ET,0.3336,win
2025-06-06 14:15 ET,bull,21838.0,2025-06-06 14:30 ET,0.677,loss
2025-06-09 21:45 ET,bull,21955.5,2025-06-09 22:00 ET,0.6187,loss
2025-06-10 07:15 ET,bear,21826.5,2025-06-10 07:30 ET,0.6787,loss
2025-06-11 08:45 ET,bull,22012.25,2025-06-11 09:00 ET,0.4718,loss
2025-06-11 13:15 ET,bull,21991.0,2025-06-11 13:30 ET,0.523,loss
2025-06-11 19:00 ET,bear,21843.75,2025-06-11 19:30 ET,1.7157,win
2025-06-11 21:30 ET,bear,21782.25,2025-06-11 21:45 ET,0.9705,loss
2025-06-12 04:00 ET,bear,21787.5,2025-06-12 04:45 ET,0.5412,loss
2025-06-12 08:45 ET,bull,21821.0,2025-06-12 09:30 ET,0.5819,win
2025-06-12 09:45 ET,bull,21843.25,2025-06-12 10:00 ET,0.625,win
2025-06-12 22:45 ET,bear,21533.25,2025-06-12 23:00 ET,0.3679,loss
2025-06-15 19:45 ET,bull,21892.75,2025-06-15 20:15 ET,0.8662,win
2025-06-16 04:45 ET,bull,22001.0,2025-06-16 05:00 ET,0.4199,loss
2025-06-16 13:30 ET,bull,22181.0,2025-06-16 13:45 ET,0.4338,loss
2025-06-17 14:00 ET,bear,21976.75,2025-06-17 14:45 ET,0.6653,win
2025-06-18 01:00 ET,bull,21978.5,2025-06-18 01:45 ET,1.049,win
2025-06-18 05:15 ET,bull,22045.25,2025-06-18 05:30 ET,0.6203,loss
2025-06-18 20:15 ET,bear,21897.75,2025-06-18 20:30 ET,2.0127,win
2025-06-18 21:15 ET,bear,21861.25,2025-06-18 21:30 ET,0.9629,loss
2025-06-19 03:30 ET,bear,21840.0,2025-06-19 05:00 ET,0.7622,win
2025-06-19 07:15 ET,bear,21815.0,2025-06-19 07:45 ET,0.6824,win
2025-06-19 08:45 ET,bear,21778.0,2025-06-19 09:15 ET,0.6037,win
2025-06-19 10:00 ET,bear,21715.0,2025-06-19 10:15 ET,0.4554,loss
2025-06-19 23:30 ET,bull,21901.75,2025-06-19 23:45 ET,0.9518,win
2025-06-20 02:15 ET,bull,21924.5,2025-06-20 02:30 ET,0.4966,loss
2025-06-20 09:00 ET,bull,22026.0,2025-06-20 09:15 ET,0.5523,win
2025-06-20 11:00 ET,bear,21855.0,2025-06-20 11:15 ET,0.4947,loss
2025-06-20 13:30 ET,bear,21821.5,2025-06-20 13:45 ET,0.4805,loss
2025-06-20 15:00 ET,bear,21834.5,2025-06-20 15:45 ET,0.4389,loss
2025-06-22 20:15 ET,bear,21730.5,2025-06-22 20:30 ET,2.013,loss
2025-06-23 03:45 ET,bull,21883.0,2025-06-23 04:00 ET,0.7335,win
2025-06-23 10:15 ET,bull,21962.5,2025-06-23 10:45 ET,0.7392,win
2025-06-23 23:30 ET,bull,22240.25,2025-06-24 00:00 ET,0.9341,win
2025-06-24 01:45 ET,bull,22283.0,2025-06-24 03:30 ET,1.2257,win
2025-06-24 20:00 ET,bull,22413.5,2025-06-24 20:30 ET,1.9724,win
2025-06-25 00:30 ET,bull,22417.25,2025-06-25 00:45 ET,0.6684,win
2025-06-25 08:00 ET,bull,22481.5,2025-06-25 08:15 ET,0.6365,win
2025-06-25 22:15 ET,bull,22472.5,2025-06-25 22:30 ET,1.0491,win
2025-06-26 03:00 ET,bull,22527.0,2025-06-26 03:15 ET,0.8998,win
2025-06-26 04:30 ET,bull,22561.0,2025-06-26 04:45 ET,0.6067,loss
2025-06-26 14:15 ET,bull,22670.5,2025-06-26 14:30 ET,0.6542,win
2025-06-27 02:45 ET,bull,22731.75,2025-06-27 03:00 ET,0.6808,win
2025-06-27 11:45 ET,bull,22806.75,2025-06-27 12:00 ET,0.5254,loss
2025-06-29 19:00 ET,bull,22817.0,2025-06-29 19:30 ET,0.885,win
2025-06-29 22:45 ET,bull,22853.0,2025-06-30 03:15 ET,0.515,win
2025-06-30 02:15 ET,bull,22891.25,2025-06-30 02:30 ET,0.6571,loss
2025-06-30 05:30 ET,bull,22901.25,2025-06-30 05:45 ET,0.5515,loss
2025-06-30 19:45 ET,bull,22875.5,2025-06-30 22:45 ET,0.821,loss
2025-06-30 20:15 ET,bull,22887.75,2025-06-30 21:15 ET,0.9754,loss
2025-07-02 00:30 ET,bull,22766.5,2025-07-02 01:00 ET,0.377,loss
2025-07-02 06:45 ET,bear,22689.5,2025-07-02 07:00 ET,0.6909,win
2025-07-02 08:45 ET,bear,22620.5,2025-07-02 09:00 ET,0.4607,loss
2025-07-02 21:30 ET,bull,22852.75,2025-07-02 21:45 ET,0.6645,win
2025-07-03 10:15 ET,bull,23037.5,2025-07-03 10:45 ET,0.7478,win
2025-07-03 11:15 ET,bull,23056.5,2025-07-03 12:45 ET,0.4231,loss
2025-07-07 02:15 ET,bear,22933.25,2025-07-07 02:30 ET,0.6027,loss
2025-07-07 12:30 ET,bear,22924.25,2025-07-07 13:30 ET,0.5409,win
2025-07-07 14:30 ET,bear,22851.75,2025-07-07 14:45 ET,0.6909,loss
2025-07-08 19:30 ET,bear,22907.5,2025-07-08 19:45 ET,0.4538,win
2025-07-08 20:15 ET,bear,22882.75,2025-07-08 20:45 ET,0.3419,loss
2025-07-09 01:30 ET,bear,22886.75,2025-07-09 02:45 ET,0.3208,loss
2025-07-09 02:15 ET,bear,22867.75,2025-07-09 02:30 ET,0.3699,loss
2025-07-09 10:00 ET,bull,23077.25,2025-07-09 10:15 ET,0.4837,loss
2025-07-10 06:45 ET,bull,23039.0,2025-07-10 07:00 ET,0.418,win
2025-07-10 07:45 ET,bull,23065.25,2025-07-10 08:00 ET,0.391,loss
2025-07-10 20:30 ET,bear,22903.25,2025-07-10 20:45 ET,0.4634,win
2025-07-13 19:15 ET,bear,22860.5,2025-07-13 19:30 ET,0.4346,win
2025-07-14 13:15 ET,bull,23049.0,2025-07-14 13:30 ET,0.317,loss
2025-07-15 03:45 ET,bull,23156.5,2025-07-15 04:00 ET,0.601,win
2025-07-15 05:30 ET,bull,23166.25,2025-07-15 05:45 ET,0.7072,win
2025-07-15 08:45 ET,bull,23163.0,2025-07-15 09:30 ET,0.2538,win
2025-07-15 20:15 ET,bear,22993.75,2025-07-15 20:30 ET,1.1962,loss
2025-07-16 08:45 ET,bull,23064.75,2025-07-16 09:00 ET,0.2671,loss
2025-07-16 11:30 ET,bear,22985.0,2025-07-16 11:45 ET,0.2483,win
2025-07-17 05:15 ET,bull,23113.75,2025-07-17 05:45 ET,0.7042,win
2025-07-17 19:15 ET,bull,23263.25,2025-07-17 21:15 ET,0.3953,win
2025-07-17 20:00 ET,bull,23274.75,2025-07-17 20:15 ET,1.1926,win
2025-07-18 01:45 ET,bull,23300.0,2025-07-18 02:00 ET,0.7353,loss
2025-07-18 10:30 ET,bear,23224.25,2025-07-18 10:45 ET,0.5111,win
2025-07-18 12:30 ET,bear,23211.75,2025-07-18 12:45 ET,0.5291,loss
2025-07-20 20:00 ET,bull,23256.25,2025-07-20 20:15 ET,1.1901,win
2025-07-20 21:15 ET,bull,23266.25,2025-07-20 21:30 ET,1.2119,win
2025-07-21 02:30 ET,bull,23286.25,2025-07-21 02:45 ET,0.6101,loss
2025-07-21 06:15 ET,bull,23295.25,2025-07-21 06:30 ET,0.3436,loss
2025-07-22 00:30 ET,bear,23311.0,2025-07-22 01:30 ET,0.4222,win
2025-07-22 04:00 ET,bear,23316.25,2025-07-22 07:00 ET,0.2612,win
2025-07-22 10:00 ET,bear,23188.0,2025-07-22 10:15 ET,0.5153,loss
2025-07-23 02:45 ET,bull,23261.0,2025-07-23 03:00 ET,0.5917,loss
2025-07-24 10:15 ET,bear,23343.0,2025-07-24 10:30 ET,0.3756,loss
2025-07-24 13:15 ET,bull,23388.5,2025-07-24 13:30 ET,0.2653,win
2025-07-24 14:15 ET,bull,23405.5,2025-07-24 14:30 ET,0.4449,loss
2025-07-24 20:15 ET,bull,23412.0,2025-07-24 20:30 ET,1.1536,loss
2025-07-24 21:45 ET,bull,23425.25,2025-07-24 22:00 ET,1.0735,loss
2025-07-25 05:15 ET,bear,23370.0,2025-07-25 05:30 ET,0.3899,loss
2025-07-25 07:15 ET,bear,23381.75,2025-07-25 08:30 ET,0.3179,win
2025-07-25 12:30 ET,bull,23451.75,2025-07-25 12:45 ET,0.4977,loss
2025-07-27 19:30 ET,bull,23532.5,2025-07-27 20:00 ET,0.6563,win
2025-07-28 01:00 ET,bull,23558.5,2025-07-28 03:00 ET,0.6611,loss
2025-07-28 09:15 ET,bear,23486.5,2025-07-28 09:30 ET,0.7682,win
2025-07-28 20:30 ET,bull,23530.0,2025-07-28 20:45 ET,0.4521,win
2025-07-28 21:15 ET,bull,23538.5,2025-07-28 21:30 ET,1.0866,win
2025-07-29 06:00 ET,bull,23594.5,2025-07-29 06:15 ET,0.3718,win
2025-07-30 04:30 ET,bear,23488.75,2025-07-30 04:45 ET,0.322,loss
2025-07-30 12:00 ET,bull,23516.5,2025-07-30 14:00 ET,0.4191,win
2025-07-31 00:00 ET,bull,23794.0,2025-07-31 00:15 ET,0.5474,win
2025-07-31 03:45 ET,bull,23824.0,2025-07-31 04:00 ET,0.3801,loss
2025-07-31 06:30 ET,bull,23792.0,2025-07-31 06:45 ET,0.3805,loss
2025-07-31 08:15 ET,bull,23780.75,2025-07-31 08:30 ET,0.3044,loss
2025-07-31 13:30 ET,bear,23483.0,2025-07-31 13:45 ET,0.1857,win
2025-08-01 04:30 ET,bear,23103.25,2025-08-01 04:45 ET,0.3448,win
2025-08-01 06:15 ET,bear,23111.0,2025-08-01 07:15 ET,0.3621,ambiguous
2025-08-04 08:30 ET,bull,23064.25,2025-08-04 08:45 ET,0.3004,win
2025-08-04 10:00 ET,bull,23213.5,2025-08-04 10:45 ET,0.5067,win
2025-08-04 12:00 ET,bull,23246.75,2025-08-04 13:45 ET,0.5653,win
2025-08-04 23:45 ET,bull,23342.0,2025-08-05 00:00 ET,0.5434,win
2025-08-05 01:00 ET,bull,23356.75,2025-08-05 01:15 ET,0.3445,loss
2025-08-05 02:45 ET,bull,23383.25,2025-08-05 03:00 ET,0.3035,loss
2025-08-05 14:45 ET,bear,23173.0,2025-08-05 15:15 ET,0.5887,win
2025-08-06 01:45 ET,bull,23183.75,2025-08-06 02:00 ET,0.34,win
2025-08-06 12:00 ET,bull,23357.0,2025-08-06 12:30 ET,0.5843,win
2025-08-06 20:30 ET,bull,23485.25,2025-08-06 20:45 ET,0.3361,win
2025-08-06 21:45 ET,bull,23495.5,2025-08-06 22:00 ET,0.5737,win
2025-08-08 12:15 ET,bull,23681.75,2025-08-08 12:45 ET,0.5921,win
2025-08-10 21:45 ET,bull,23748.0,2025-08-11 00:00 ET,0.6038,loss
2025-08-12 08:45 ET,bull,23767.5,2025-08-12 09:00 ET,0.3332,loss
2025-08-12 10:30 ET,bull,23742.5,2025-08-12 10:45 ET,0.6848,win
2025-08-12 11:15 ET,bull,23825.0,2025-08-12 11:30 ET,0.4572,win
2025-08-12 13:00 ET,bull,23890.0,2025-08-12 13:15 ET,0.6503,win
2025-08-12 19:15 ET,bull,23933.25,2025-08-12 21:15 ET,0.4128,win
2025-08-12 22:30 ET,bull,23939.25,2025-08-13 02:15 ET,0.3135,win
2025-08-13 02:45 ET,bull,23956.0,2025-08-13 10:15 ET,0.4077,win
2025-08-13 06:00 ET,bull,23999.5,2025-08-13 06:15 ET,0.6496,win
2025-08-13 08:45 ET,bull,24017.75,2025-08-13 09:00 ET,0.5759,win
2025-08-14 01:15 ET,bear,23928.5,2025-08-14 01:30 ET,0.6358,win
2025-08-14 04:45 ET,bear,23927.25,2025-08-14 05:15 ET,0.7255,win
2025-08-15 00:15 ET,bull,23931.25,2025-08-15 01:00 ET,0.5443,loss
2025-08-15 01:45 ET,bull,23938.75,2025-08-15 02:00 ET,0.6538,loss
2025-08-15 11:00 ET,bear,23814.5,2025-08-15 11:15 ET,0.5484,win
2025-08-18 11:30 ET,bear,23754.75,2025-08-18 11:45 ET,0.5173,loss
2025-08-18 23:00 ET,bear,23767.0,2025-08-18 23:15 ET,0.4238,win
2025-08-18 23:45 ET,bear,23759.25,2025-08-19 00:45 ET,0.4238,loss
2025-08-19 14:15 ET,bear,23484.5,2025-08-19 16:00 ET,0.4697,win
2025-08-19 23:15 ET,bear,23367.0,2025-08-19 23:30 ET,0.4252,loss
2025-08-19 23:45 ET,bear,23349.75,2025-08-20 00:00 ET,0.4252,loss
2025-08-20 01:15 ET,bear,23348.0,2025-08-20 01:30 ET,0.6191,loss
2025-08-21 12:00 ET,bear,23212.0,2025-08-21 12:15 ET,0.52,win
2025-08-21 20:15 ET,bear,23214.25,2025-08-21 20:30 ET,0.4553,win
2025-08-21 23:15 ET,bear,23203.5,2025-08-21 23:30 ET,0.5944,win
2025-08-22 02:45 ET,bear,23143.75,2025-08-22 03:00 ET,0.5586,loss
2025-08-25 05:15 ET,bear,23500.0,2025-08-25 05:45 ET,0.3044,win
2025-08-25 06:30 ET,bear,23491.5,2025-08-25 06:45 ET,0.3787,win
2025-08-25 08:15 ET,bear,23481.25,2025-08-25 08:30 ET,0.6664,loss
2025-08-25 20:45 ET,bear,23420.0,2025-08-25 21:00 ET,0.3234,loss
2025-08-26 03:15 ET,bear,23442.25,2025-08-26 03:30 ET,0.3662,loss
2025-08-26 12:15 ET,bull,23536.75,2025-08-26 12:45 ET,0.5423,loss
2025-08-27 13:00 ET,bull,23588.0,2025-08-27 13:15 ET,0.3323,win
2025-08-27 14:15 ET,bull,23646.25,2025-08-27 14:30 ET,0.3727,loss
2025-08-27 15:45 ET,bull,23619.25,2025-08-27 16:00 ET,0.3614,ambiguous
2025-08-28 04:15 ET,bull,23640.75,2025-08-28 04:30 ET,0.6518,loss
2025-08-28 08:45 ET,bull,23630.25,2025-08-28 09:30 ET,0.3855,win
2025-08-28 12:30 ET,bull,23729.5,2025-08-28 12:45 ET,0.5286,win
2025-08-29 04:15 ET,bear,23676.25,2025-08-29 04:30 ET,0.6546,win
2025-08-29 05:00 ET,bear,23650.5,2025-08-29 05:15 ET,0.2729,win
2025-08-29 06:45 ET,bear,23642.5,2025-08-29 07:00 ET,0.4295,win
2025-08-29 10:15 ET,bear,23499.75,2025-08-29 10:30 ET,1.1013,win
2025-08-29 13:15 ET,bear,23439.0,2025-08-29 13:30 ET,0.3289,loss
2025-08-31 23:30 ET,bear,23449.0,2025-08-31 23:45 ET,0.7474,win
2025-09-01 12:45 ET,bull,23496.75,2025-09-01 18:00 ET,0.5829,loss
2025-09-01 22:30 ET,bear,23426.75,2025-09-01 22:45 ET,0.5793,win
2025-09-02 01:15 ET,bear,23420.5,2025-09-02 01:30 ET,0.4348,win
2025-09-02 03:15 ET,bear,23413.25,2025-09-02 03:30 ET,0.4507,win
2025-09-02 04:00 ET,bear,23320.0,2025-09-02 04:15 ET,0.6436,win
2025-09-02 06:30 ET,bear,23264.25,2025-09-02 10:00 ET,0.3216,win
2025-09-03 05:45 ET,bull,23432.0,2025-09-03 06:00 ET,0.2787,loss
2025-09-03 10:45 ET,bull,23497.0,2025-09-03 11:00 ET,1.0875,loss
2025-09-04 15:15 ET,bull,23627.5,2025-09-04 15:30 ET,0.5573,win
2025-09-04 21:00 ET,bull,23727.25,2025-09-04 21:45 ET,0.5128,win
2025-09-05 00:15 ET,bull,23743.75,2025-09-05 00:45 ET,0.4078,win
2025-09-05 01:45 ET,bull,23760.0,2025-09-05 02:00 ET,0.4448,win
2025-09-05 11:00 ET,bear,23575.0,2025-09-05 11:15 ET,0.5232,loss
2025-09-05 13:45 ET,bear,23620.5,2025-09-05 14:00 ET,0.4492,loss
2025-09-07 19:30 ET,bull,23768.5,2025-09-07 19:45 ET,0.2087,win
2025-09-08 02:15 ET,bull,23748.5,2025-09-08 02:30 ET,0.776,win
2025-09-08 03:15 ET,bull,23762.0,2025-09-08 03:30 ET,1.0768,win
2025-09-08 09:45 ET,bull,23814.0,2025-09-08 10:15 ET,0.6306,win
2025-09-09 13:15 ET,bull,23838.25,2025-09-09 13:30 ET,0.4012,win
2025-09-10 06:45 ET,bull,23920.5,2025-09-10 09:30 ET,0.2825,win
2025-09-10 07:45 ET,bull,23947.25,2025-09-10 08:00 ET,0.2656,win
2025-09-10 08:45 ET,bull,23995.0,2025-09-10 09:00 ET,0.6217,loss
2025-09-11 22:45 ET,bull,24000.75,2025-09-11 23:15 ET,0.5415,win
