symbol,_priceFormat,_priceFormatType,_tickSize,buyFillId,sellFillId,qty,buyPrice,sellPrice,pnl,boughtTimestamp,soldTimestamp,duration
MNQU6,-2,0,0.25,593395151391,593395151377,1,28086.50,28073.50,$(26.00),07/28/2026 19:50:27,07/28/2026 19:50:02,25sec
MNQU6,-2,0,0.25,593395151425,593395151439,1,28123.25,28113.25,$(20.00),07/28/2026 20:15:12,07/28/2026 20:15:23,10sec
MNQU6,-2,0,0.25,593395151425,593395151451,1,28123.25,28113.25,$(20.00),07/28/2026 20:15:12,07/28/2026 20:15:23,11sec
MNQU6,-2,0,0.25,593395151425,593395151463,1,28123.25,28113.25,$(20.00),07/28/2026 20:15:12,07/28/2026 20:15:23,11sec
MNQU6,-2,0,0.25,593395151425,593395151471,6,28123.25,28113.00,$(123.00),07/28/2026 20:15:12,07/28/2026 20:15:23,11sec
MNQU6,-2,0,0.25,593395151503,593395151489,2,28036.50,28049.50,$52.00,07/28/2026 20:36:46,07/28/2026 20:36:25,21sec
MNQU6,-2,0,0.25,593395151515,593395151489,7,28036.50,28049.50,$182.00,07/28/2026 20:36:47,07/28/2026 20:36:25,21sec
MNQU6,-2,0,0.25,593395151533,593395151547,6,28052.25,28039.25,$(156.00),07/28/2026 20:40:57,07/28/2026 20:41:31,33sec
MNQU6,-2,0,0.25,593395151533,593395151559,3,28052.25,28038.75,$(81.00),07/28/2026 20:40:57,07/28/2026 20:41:32,35sec
MNQU6,-2,0,0.25,593395151591,593395151577,9,28041.50,28054.50,$234.00,07/28/2026 20:55:21,07/28/2026 20:52:46,2min 35sec
MNQU6,-2,0,0.25,593395151623,593395151609,9,28032.50,28025.50,$(126.00),07/28/2026 21:01:25,07/28/2026 21:01:15,9sec
