symbol,_priceFormat,_priceFormatType,_tickSize,buyFillId,sellFillId,qty,buyPrice,sellPrice,pnl,boughtTimestamp,soldTimestamp,duration
MNQU6,-2,0,0.25,597725390017,597725390007,1,27898.50,27880.50,$(36.00),07/28/2026 02:01:13,07/28/2026 01:59:59,1min 14sec
MNQU6,-2,0,0.25,597725390028,597725390007,18,27898.75,27880.50,$(657.00),07/28/2026 02:01:15,07/28/2026 01:59:59,1min 15sec
MNQU6,-2,0,0.25,597725390048,597725390039,19,27869.25,27884.50,$579.50,07/28/2026 02:02:39,07/28/2026 02:02:17,22sec
MNQU6,-2,0,0.25,597725390068,597725390059,1,27866.00,27864.50,$(3.00),07/28/2026 02:06:58,07/28/2026 02:06:00,58sec
MNQU6,-2,0,0.25,597725390079,597725390059,24,27867.00,27864.50,$(120.00),07/28/2026 02:06:59,07/28/2026 02:06:00,58sec
MNQU6,-2,0,0.25,597725390099,597725390090,11,27874.25,27852.75,$(473.00),07/28/2026 02:21:45,07/28/2026 02:16:21,5min 23sec
MNQU6,-2,0,0.25,597725390110,597725390090,11,27874.25,27852.75,$(473.00),07/28/2026 02:21:45,07/28/2026 02:16:21,5min 23sec
MNQU6,-2,0,0.25,597725390130,597725390121,22,27860.50,27873.25,$561.00,07/28/2026 02:23:58,07/28/2026 02:22:30,1min 28sec
MNQU6,-2,0,0.25,597725390150,597725390141,22,27878.75,27865.25,$(594.00),07/28/2026 02:25:52,07/28/2026 02:24:50,1min 1sec
MNQU6,-2,0,0.25,597725390161,597725390181,1,27879.75,27897.50,$35.50,07/28/2026 02:27:21,07/28/2026 02:28:34,1min 12sec
MNQU6,-2,0,0.25,597725390161,597725390190,1,27879.75,27897.50,$35.50,07/28/2026 02:27:21,07/28/2026 02:28:34,1min 12sec
MNQU6,-2,0,0.25,597725390161,597725390201,4,27879.75,27897.50,$142.00,07/28/2026 02:27:21,07/28/2026 02:28:34,1min 12sec
MNQU6,-2,0,0.25,597725390161,597725390212,4,27879.75,27897.50,$142.00,07/28/2026 02:27:21,07/28/2026 02:28:34,1min 12sec
MNQU6,-2,0,0.25,597725390161,597725390223,4,27879.75,27897.50,$142.00,07/28/2026 02:27:21,07/28/2026 02:28:34,1min 12sec
MNQU6,-2,0,0.25,597725390161,597725390234,3,27879.75,27897.50,$106.50,07/28/2026 02:27:21,07/28/2026 02:28:34,1min 12sec
MNQU6,-2,0,0.25,597725390161,597725390245,5,27879.75,27898.00,$182.50,07/28/2026 02:27:21,07/28/2026 02:28:34,1min 12sec
MNQU6,-2,0,0.25,597725390170,597725390245,4,27882.25,27898.00,$126.00,07/28/2026 02:27:55,07/28/2026 02:28:34,38sec
MNQU6,-2,0,0.25,597725390170,597725390258,4,27882.25,27897.75,$124.00,07/28/2026 02:27:55,07/28/2026 02:28:34,39sec
MNQU6,-2,0,0.25,597725390269,597725390278,25,27898.50,27904.25,$287.50,07/28/2026 02:30:15,07/28/2026 02:30:30,14sec
MNQU6,-2,0,0.25,597725390289,597725390298,25,27900.50,27902.00,$75.00,07/28/2026 02:31:07,07/28/2026 02:31:20,13sec
MNQU6,-2,0,0.25,597725390309,597725390327,1,27908.75,27916.00,$14.50,07/28/2026 02:31:31,07/28/2026 02:35:06,3min 35sec
MNQU6,-2,0,0.25,597725390309,597725390338,2,27908.75,27916.50,$31.00,07/28/2026 02:31:31,07/28/2026 02:35:06,3min 35sec
MNQU6,-2,0,0.25,597725390309,597725390349,5,27908.75,27916.50,$77.50,07/28/2026 02:31:31,07/28/2026 02:35:06,3min 35sec
MNQU6,-2,0,0.25,597725390309,597725390360,5,27908.75,27916.50,$77.50,07/28/2026 02:31:31,07/28/2026 02:35:06,3min 35sec
MNQU6,-2,0,0.25,597725390309,597725390371,1,27908.75,27916.50,$15.50,07/28/2026 02:31:31,07/28/2026 02:35:06,3min 35sec
MNQU6,-2,0,0.25,597725390309,597725390382,1,27908.75,27916.50,$15.50,07/28/2026 02:31:31,07/28/2026 02:35:06,3min 35sec
MNQU6,-2,0,0.25,597725390309,597725390393,4,27908.75,27916.50,$62.00,07/28/2026 02:31:31,07/28/2026 02:35:06,3min 35sec
MNQU6,-2,0,0.25,597725390309,597725390406,4,27908.75,27916.50,$62.00,07/28/2026 02:31:31,07/28/2026 02:35:06,3min 35sec
MNQU6,-2,0,0.25,597725390309,597725390415,2,27908.75,27916.50,$31.00,07/28/2026 02:31:31,07/28/2026 02:35:06,3min 35sec
MNQU6,-2,0,0.25,597725390318,597725390415,3,27907.50,27916.50,$54.00,07/28/2026 02:32:00,07/28/2026 02:35:06,3min 6sec
MNQU6,-2,0,0.25,597725390318,597725390428,2,27907.50,27915.50,$32.00,07/28/2026 02:32:00,07/28/2026 02:35:07,3min 6sec
MNQU6,-2,0,0.25,597725390439,597725390449,25,27917.25,27930.25,$650.00,07/28/2026 02:37:20,07/28/2026 02:40:44,3min 24sec
MNQU6,-2,0,0.25,597725390492,597725390469,1,28086.50,28073.50,$(26.00),07/28/2026 19:50:27,07/28/2026 19:50:02,25sec
MNQU6,-2,0,0.25,597725390506,597725390486,1,28088.00,28070.75,$(34.50),07/28/2026 19:50:28,07/28/2026 19:50:02,25sec
MNQU6,-2,0,0.25,597725390537,597725390560,1,28123.25,28113.25,$(20.00),07/28/2026 20:15:12,07/28/2026 20:15:23,10sec
MNQU6,-2,0,0.25,597725390537,597725390575,1,28123.25,28113.25,$(20.00),07/28/2026 20:15:12,07/28/2026 20:15:23,11sec
MNQU6,-2,0,0.25,597725390537,597725390583,1,28123.25,28113.25,$(20.00),07/28/2026 20:15:12,07/28/2026 20:15:23,11sec
MNQU6,-2,0,0.25,597725390537,597725390595,1,28123.25,28113.25,$(20.00),07/28/2026 20:15:12,07/28/2026 20:15:23,11sec
MNQU6,-2,0,0.25,597725390537,597725390603,5,28123.25,28113.00,$(102.50),07/28/2026 20:15:12,07/28/2026 20:15:23,11sec
MNQU6,-2,0,0.25,597725390554,597725390603,1,28123.50,28113.00,$(21.00),07/28/2026 20:15:12,07/28/2026 20:15:23,11sec
MNQU6,-2,0,0.25,597725390554,597725390619,1,28123.50,28113.00,$(21.00),07/28/2026 20:15:12,07/28/2026 20:15:23,11sec
MNQU6,-2,0,0.25,597725390554,597725390630,1,28123.50,28113.00,$(21.00),07/28/2026 20:15:12,07/28/2026 20:15:23,11sec
MNQU6,-2,0,0.25,597725390554,597725390641,6,28123.50,28112.50,$(132.00),07/28/2026 20:15:12,07/28/2026 20:15:23,11sec
MNQU6,-2,0,0.25,597725390679,597725390656,2,28036.50,28049.50,$52.00,07/28/2026 20:36:46,07/28/2026 20:36:25,21sec
MNQU6,-2,0,0.25,597725390694,597725390656,2,28037.50,28049.50,$48.00,07/28/2026 20:36:46,07/28/2026 20:36:25,21sec
MNQU6,-2,0,0.25,597725390702,597725390673,2,28036.50,28048.00,$46.00,07/28/2026 20:36:47,07/28/2026 20:36:25,21sec
MNQU6,-2,0,0.25,597725390702,597725390656,5,28036.50,28049.50,$130.00,07/28/2026 20:36:47,07/28/2026 20:36:25,21sec
MNQU6,-2,0,0.25,597725390718,597725390673,7,28037.50,28048.00,$147.00,07/28/2026 20:36:47,07/28/2026 20:36:25,22sec
MNQU6,-2,0,0.25,597725390733,597725390756,6,28052.25,28039.25,$(156.00),07/28/2026 20:40:57,07/28/2026 20:41:31,33sec
MNQU6,-2,0,0.25,597725390733,597725390771,3,28052.25,28039.50,$(76.50),07/28/2026 20:40:57,07/28/2026 20:41:31,33sec
MNQU6,-2,0,0.25,597725390750,597725390771,3,28053.00,28039.50,$(81.00),07/28/2026 20:40:57,07/28/2026 20:41:31,33sec
MNQU6,-2,0,0.25,597725390750,597725390781,3,28053.00,28038.75,$(85.50),07/28/2026 20:40:57,07/28/2026 20:41:32,35sec
MNQU6,-2,0,0.25,597725390750,597725390795,3,28053.00,28038.75,$(85.50),07/28/2026 20:40:57,07/28/2026 20:41:32,35sec
