time,open,high,low,close,Volume,Volume MA,EMA Direction (debug),HTF EMA Value (debug),Order Sent Long,Order Sent Short
1785750180,28554.75,28556.75,28550.25,28553.25,258,546,-1,28559.37212903339,0,0
1785750240,28554.5,28556.25,28543,28544.5,544,534.05,-1,28559.37212903339,0,0
1785750300,28545.5,28560.75,28545,28557.75,413,521.2,1,28554.414752688925,0,0
1785750360,28557.5,28560,28554.5,28557.25,236,492.75,1,28554.414752688925,0,0
1785750420,28556,28559.25,28551.5,28554.5,265,478.45,1,28554.414752688925,0,0
1785750480,28554.75,28558.25,28550,28552.5,300,466.25,-1,28554.414752688925,0,0
1785750540,28552.5,28559.5,28538.5,28545,745,489,-1,28554.414752688925,0,0
1785750600,28545.25,28547,28536.75,28537.75,651,506.4,-1,28554.414752688925,0,0
1785750660,28538.25,28538.75,28527.5,28528.25,917,527.1,-1,28554.414752688925,0,0
1785750720,28528.25,28531.5,28524.75,28526.75,666,528.8,-1,28554.414752688925,0,0
1785750780,28527.25,28530.25,28520.5,28528,833,549.35,-1,28554.414752688925,0,0
1785750840,28529,28543.5,28528.5,28542.5,729,571.1,-1,28554.414752688925,0,0
1785750900,28542.5,28548.75,28535.5,28547.25,727,588.05,-1,28554.414752688925,0,0
1785750960,28547.75,28561.5,28546.75,28558.5,848,578.25,1,28554.414752688925,0,0
1785751020,28558,28561.75,28550,28557.25,507,550.4,1,28554.414752688925,0,0
1785751080,28558,28561.75,28555.5,28561,357,540.75,1,28554.414752688925,0,0
1785751140,28562,28563.5,28558,28558.5,383,536.1,1,28554.414752688925,0,0
1785751200,28559.25,28566,28554.25,28558.75,644,545.25,1,28555.776501792618,0,0
1785751260,28559.25,28559.25,28537,28544,1121,582.15,-1,28555.776501792618,0,0
1785751320,28543.75,28548.5,28540.5,28546.25,298,572.1,-1,28555.776501792618,0,0
1785751380,28546.5,28555,28543,28554.5,395,578.95,-1,28555.776501792618,0,0
1785751440,28553.25,28554,28543.25,28549.25,441,573.8,-1,28555.776501792618,0,0
1785751500,28548.75,28550.25,28541.75,28547.75,323,569.3,-1,28555.776501792618,0,0
1785751560,28548.5,28551.75,28539.5,28547.5,583,586.65,-1,28555.776501792618,0,0
1785751620,28547.75,28548.5,28536,28541.5,420,594.4,-1,28555.776501792618,0,0
1785751680,28542,28545.25,28537,28537,213,590.05,-1,28555.776501792618,0,0
1785751740,28537.25,28548,28535.75,28541.25,401,572.85,-1,28555.776501792618,0,0
1785751800,28541.5,28543.5,28529.75,28541.5,773,578.95,-1,28555.776501792618,0,0
1785751860,28541.5,28544.75,28535.75,28536,415,553.85,-1,28555.776501792618,0,0
1785751920,28536,28543.75,28535.5,28540.5,299,535.5,-1,28555.776501792618,0,0
1785751980,28539.5,28539.75,28525.25,28531.75,918,539.75,-1,28555.776501792618,0,0
1785752040,28531.75,28539,28526.75,28527.25,614,534,-1,28555.776501792618,0,0
1785752100,28526.25,28539.25,28522.75,28531.5,913,543.3,-1,28546.267667861746,0,0
1785752160,28532.25,28535.25,28529.5,28533.25,300,515.9,-1,28546.267667861746,0,0
1785752220,28533.5,28536,28520.5,28521.75,701,525.6,-1,28546.267667861746,0,0
1785752280,28522.75,28540.75,28520.75,28538,824,548.95,-1,28546.267667861746,0,0
1785752340,28537,28537,28524.75,28525.25,464,553,-1,28546.267667861746,0,0
1785752400,28525,28528,28508.5,28509,1138,577.7,-1,28546.267667861746,0,0
1785752460,28508.75,28514,28497.75,28504.5,1206,581.95,-1,28546.267667861746,0,0
1785752520,28503.75,28508.5,28498,28506.75,845,609.3,-1,28546.267667861746,0,0
1785752580,28507.25,28513,28500.25,28511,830,631.05,-1,28546.267667861746,0,0
1785752640,28511.75,28514.75,28491.25,28493.5,1214,669.7,-1,28546.267667861746,0,0
1785752700,28494,28501.75,28488.5,28495,935,700.3,-1,28546.267667861746,0,0
1785752760,28494.5,28509.25,28492.25,28507.75,968,719.55,-1,28546.267667861746,0,0
1785752820,28507.75,28509,28495.25,28500.75,671,732.1,-1,28546.267667861746,0,0
1785752880,28500.75,28511.5,28497,28504.75,657,754.3,-1,28546.267667861746,0,0
1785752940,28505.5,28509.75,28502.5,28509.5,405,754.5,-1,28546.267667861746,0,0
1785753000,28508.75,28509.25,28502.75,28505.25,324,732.05,-1,28534.0117785745,0,0
1785753060,28504.75,28506.5,28494,28505.5,770,749.8,-1,28534.0117785745,0,0
1785753120,28506.25,28507.25,28490,28495.5,576,763.65,-1,28534.0117785745,0,0
1785753180,28495.25,28506.5,28491,28504,611,748.3,-1,28534.0117785745,0,0
1785753240,28503.5,28524,28503,28523.25,974,766.3,-1,28534.0117785745,0,0
1785753300,28522.25,28526.5,28513.75,28514.5,950,768.15,-1,28534.0117785745,0,0
1785753360,28514.25,28521.25,28513.75,28518.25,502,778.25,-1,28534.0117785745,0,0
1785753420,28517.75,28525,28512.75,28524.75,568,771.6,-1,28534.0117785745,0,0
1785753480,28524.75,28530,28515,28516.75,1023,781.55,-1,28534.0117785745,0,0
1785753540,28516.25,28532.5,28515,28527.25,536,785.15,-1,28534.0117785745,0,0
1785753600,28527,28528.5,28514.5,28527.75,626,759.55,-1,28534.0117785745,0,0
1785753660,28527.25,28527.75,28523.25,28525,332,715.85,-1,28534.0117785745,0,0
1785753720,28525.25,28528,28519.75,28523,402,693.7,-1,28534.0117785745,0,0
1785753780,28523,28525.5,28519,28523.25,226,663.5,-1,28534.0117785745,0,0
1785753840,28522.5,28529.25,28522,28527,286,617.1,-1,28534.0117785745,0,0
1785753900,28527.75,28531.5,28520.75,28524.5,403,590.5,-1,28531.674519049666,0,0
1785753960,28524.75,28529.5,28521,28524.5,426,563.4,-1,28531.674519049666,0,0
1785754020,28525,28537.25,28519.25,28526.75,645,562.1,-1,28531.674519049666,0,0
1785754080,28527,28530.75,28522,28524.25,414,549.95,-1,28531.674519049666,0,0
1785754140,28524.5,28533,28520,28520.5,465,552.95,-1,28531.674519049666,0,0
1785754200,28520.5,28524.75,28513.5,28523.5,681,570.8,-1,28531.674519049666,0,0
1785754260,28523.5,28529.75,28521.5,28526.5,383,551.45,-1,28531.674519049666,0,0
1785754320,28526,28527.25,28516.25,28526,585,551.9,-1,28531.674519049666,0,0
1785754380,28525.5,28533,28523,28531,442,543.45,-1,28531.674519049666,0,0
1785754440,28531.5,28533.25,28524.75,28528.5,283,508.9,-1,28531.674519049666,0,0
1785754500,28528.5,28540.5,28527.75,28536.5,561,489.45,1,28531.674519049666,0,0
1785754560,28536.25,28545,28535.5,28542.5,581,493.4,1,28531.674519049666,0,0
1785754620,28542.5,28544.25,28535.5,28538.75,349,482.45,1,28531.674519049666,0,0
1785754680,28538.5,28538.5,28534.25,28536.25,185,440.55,1,28531.674519049666,0,0
1785754740,28536.25,28547.75,28533.25,28541,558,441.65,1,28531.674519049666,0,0
1785754800,28542.25,28547.25,28508.75,28512.25,2418,531.25,-1,28534.783012699776,0,0
1785754860,28511.75,28513,28492.75,28494.75,1733,601.3,-1,28534.783012699776,0,0
1785754920,28494.75,28503.5,28487.5,28494.5,1167,639.55,-1,28534.783012699776,0,0
1785754980,28493.25,28500.75,28481,28500.25,1657,711.1,-1,28534.783012699776,0,0
1785755040,28499.25,28501.5,28487.5,28500.25,1064,750,-1,28534.783012699776,0,0
1785755100,28500.25,28502.25,28492,28501,932,776.45,-1,28534.783012699776,0,0
1785755160,28501.75,28503.5,28467.5,28468.25,1965,853.4,-1,28534.783012699776,0,0
1785755220,28469,28483,28466.5,28477.5,1106,876.45,-1,28534.783012699776,0,0
1785755280,28477.25,28480,28468,28468.5,1244,917.95,-1,28534.783012699776,0,0
1785755340,28468,28479.25,28467.25,28478,901,939.75,-1,28534.783012699776,0,0
1785755400,28478.25,28485.5,28475,28484.25,829,947.15,-1,28534.783012699776,0,0
1785755460,28484.75,28486.25,28476,28479.25,617,958.85,-1,28534.783012699776,0,0
1785755520,28479.75,28488.75,28473.5,28483.25,820,970.6,-1,28534.783012699776,0,0
1785755580,28482.25,28488.25,28480.25,28486.75,567,976.85,-1,28534.783012699776,0,0
1785755640,28487,28490.75,28480.5,28488,610,993.2,-1,28534.783012699776,0,0
1785755700,28488,28492,28481,28489.5,581,994.2,-1,28519.188675133184,0,0
1785755760,28488.75,28500,28483,28493,947,1012.5,-1,28519.188675133184,0,0
1785755820,28492,28511.25,28490.25,28510.5,927,1041.4,-1,28519.188675133184,0,0
1785755880,28510,28513,28492.25,28502.75,1029,1083.6,-1,28519.188675133184,0,0
1785755940,28502.75,28508.5,28500.25,28504,536,1082.5,-1,28519.188675133184,0,0
1785756000,28503,28508,28496.25,28501.5,695,996.35,-1,28519.188675133184,0,0
1785756060,28501.5,28510.25,28486.75,28488.5,894,954.4,-1,28519.188675133184,0,0
1785756120,28488.75,28507,28486.5,28497.75,989,945.5,-1,28519.188675133184,0,0
1785756180,28497.5,28498.5,28487.75,28492,467,886,-1,28519.188675133184,0,0
1785756240,28492,28494.25,28488.25,28488.25,363,850.95,-1,28519.188675133184,0,0
1785756300,28489,28490.25,28480.5,28480.5,1042,856.45,-1,28519.188675133184,0,0
1785756360,28481.25,28493,28474.75,28492.5,994,807.9,-1,28519.188675133184,0,0
1785756420,28492.25,28492.5,28470,28475.25,865,795.85,-1,28519.188675133184,0,0
1785756480,28475.25,28485.5,28473.75,28481.75,593,763.3,-1,28519.188675133184,0,0
1785756540,28481.75,28484.5,28468.75,28469.75,677,752.1,-1,28519.188675133184,0,0
1785756600,28469,28511.75,28466.75,28501.5,1926,806.95,-1,28502.709116755457,0,0
1785756660,28501.5,28511.5,28489,28495.5,1094,830.8,-1,28502.709116755457,0,0
1785756720,28495.75,28503.25,28492.75,28502.25,925,836.05,-1,28502.709116755457,0,0
1785756780,28504.5,28508.5,28500.75,28503,612,838.3,1,28502.709116755457,0,0
