time,open,high,low,close,Volume,TFC Value,TFC Status,TFC Value,TFC Status,TFC Value,TFC Status,TFC Value,TFC Status,TFC Value,TFC Status
1733094000,20994.5,21003.5,20960.75,20978,10193,-0.07859201219366976,-0.07859201219366976,-0.07859201219366976,-0.07859201219366976,-0.07859201219366976,-0.07859201219366976,-0.07859201219366976,-0.07859201219366976,-0.07859201219366976,-0.07859201219366976
1733094900,20978.25,20987.5,20969,20971.5,4579,-0.10955250184572149,-0.10955250184572149,-0.10955250184572149,-0.10955250184572149,-0.10955250184572149,-0.10955250184572149,-0.10955250184572149,-0.10955250184572149,-0.10955250184572149,-0.10955250184572149
1733095800,20971.5,20972.25,20952.75,20960.5,5207,-0.16194717664150135,-0.16194717664150135,-0.16194717664150135,-0.16194717664150135,-0.16194717664150135,-0.16194717664150135,-0.16194717664150135,-0.16194717664150135,-0.05245213742460005,-0.05245213742460005
1733096700,20961,20971.5,20958,20964.5,3868,-0.14289456762485414,-0.14289456762485414,-0.14289456762485414,-0.14289456762485414,-0.14289456762485414,-0.14289456762485414,-0.14289456762485414,-0.14289456762485414,-0.03337863290656367,-0.03337863290656367
1733097600,20965.25,20983,20965.25,20970.5,5228,-0.1143156540998833,-0.1143156540998833,-0.1143156540998833,-0.1143156540998833,-0.1143156540998833,-0.1143156540998833,0.025041437617009096,0.025041437617009096,0.025041437617009096,0.025041437617009096
1733098500,20970.5,20982.75,20962,20970.5,4483,-0.1143156540998833,-0.1143156540998833,-0.1143156540998833,-0.1143156540998833,-0.1143156540998833,-0.1143156540998833,0.025041437617009096,0.025041437617009096,0.025041437617009096,0.025041437617009096
1733099400,20971,20973.25,20946.5,20947.75,6399,-0.22267736788206433,-0.22267736788206433,-0.22267736788206433,-0.22267736788206433,-0.22267736788206433,-0.22267736788206433,-0.08347145872336366,-0.08347145872336366,-0.11086738829812598,-0.11086738829812598
1733100300,20948,20965.25,20941.75,20957,5293,-0.17861820953106766,-0.17861820953106766,-0.17861820953106766,-0.17861820953106766,-0.17861820953106766,-0.17861820953106766,-0.0393508305410143,-0.0393508305410143,-0.0667588574698393,-0.0667588574698393
1733101200,20956.5,20971,20949.25,20966.25,4929,-0.13455905118007097,-0.13455905118007097,-0.13455905118007097,-0.13455905118007097,-0.13455905118007097,-0.13455905118007097,0.04652494452795075,0.04652494452795075,0.04652494452795075,0.04652494452795075
1733102100,20966.25,20966.75,20953.25,20962,4008,-0.15480244826025863,-0.15480244826025863,-0.15480244826025863,-0.15480244826025863,-0.15480244826025863,-0.15480244826025863,0.02624484050294658,0.02624484050294658,0.02624484050294658,0.02624484050294658
1733103000,20961.75,20974.5,20961.25,20967.75,3280,-0.12741432279882828,-0.12741432279882828,-0.12741432279882828,-0.12741432279882828,-0.12741432279882828,-0.12741432279882828,0.05368262830148165,0.05368262830148165,0.0286235643493506,0.0286235643493506
1733103900,20968.5,20971.5,20954.5,20957,3340,-0.17861820953106766,-0.17861820953106766,-0.17861820953106766,-0.17861820953106766,-0.17861820953106766,-0.17861820953106766,0.002385894591176962,0.002385894591176962,-0.022660321776569226,-0.022660321776569226
1733104800,20957,20959.75,20948.25,20952.5,4117,-0.2000523946747958,-0.2000523946747958,-0.2000523946747958,-0.2000523946747958,-0.2000523946747958,-0.2000523946747958,-0.021472539008445864,-0.021472539008445864,-0.021472539008445864,-0.021472539008445864
1733105700,20952.5,20961.75,20951,20957.75,2710,-0.17504584534044632,-0.17504584534044632,-0.17504584534044632,-0.17504584534044632,-0.17504584534044632,-0.17504584534044632,0.003578756501407644,0.003578756501407644,0.003578756501407644,0.003578756501407644
1733106600,20957.25,20959.75,20951.75,20954.5,2074,-0.19052609016647218,-0.19052609016647218,-0.19052609016647218,-0.19052609016647218,-0.19052609016647218,-0.19052609016647218,-0.011929188338025481,-0.011929188338025481,-0.013121950637607509,-0.013121950637607509
1733107500,20954.75,20959.75,20951.5,20953.5,1549,-0.19528924242063397,-0.19528924242063397,-0.19528924242063397,-0.19528924242063397,-0.19528924242063397,-0.19528924242063397,-0.016700863673235675,-0.016700863673235675,-0.01789356905128297,-0.01789356905128297
1733108400,20953.75,20958.5,20950,20954.25,1761,-0.19171687823001263,-0.19171687823001263,-0.19171687823001263,-0.19171687823001263,-0.19171687823001263,-0.19171687823001263,0.0023862077193819724,0.0023862077193819724,0.0023862077193819724,0.0023862077193819724
1733109300,20954.5,20964.25,20951.75,20962,1795,-0.15480244826025863,-0.15480244826025863,-0.15480244826025863,-0.15480244826025863,-0.15480244826025863,-0.15480244826025863,0.039372427369802544,0.039372427369802544,0.039372427369802544,0.039372427369802544
1733110200,20962,20965,20956.75,20961.5,2250,-0.15718402438733953,-0.15718402438733953,-0.15718402438733953,-0.15718402438733953,-0.15718402438733953,-0.15718402438733953,0.03698621965042057,0.03698621965042057,-0.0023852685812422478,-0.0023852685812422478
1733111100,20961.5,20961.5,20945,20950,3147,-0.2119602753102003,-0.2119602753102003,-0.2119602753102003,-0.2119602753102003,-0.2119602753102003,-0.2119602753102003,-0.01789655789536479,-0.01789655789536479,-0.05724644594981395,-0.05724644594981395
1733112000,20949.75,20959.5,20947,20949,2725,-0.21672342756436208,-0.21672342756436208,-0.21672342756436208,-0.21672342756436208,-0.21672342756436208,-0.21672342756436208,-0.003579994988007017,-0.003579994988007017,-0.003579994988007017,-0.003579994988007017
1733112900,20949.25,20956,20947.5,20954.25,1440,-0.19171687823001263,-0.19171687823001263,-0.19171687823001263,-0.19171687823001263,-0.19171687823001263,-0.19171687823001263,0.0214799699280421,0.0214799699280421,0.0214799699280421,0.0214799699280421
1733113800,20954.25,20966,20953,20964.25,2428,-0.1440853556883946,-0.1440853556883946,-0.1440853556883946,-0.1440853556883946,-0.1440853556883946,-0.1440853556883946,0.06921323643480233,0.06921323643480233,0.04772301561735686,0.04772301561735686
1733114700,20964.25,20966.75,20951.75,20957.75,2511,-0.17504584534044632,-0.17504584534044632,-0.17504584534044632,-0.17504584534044632,-0.17504584534044632,-0.17504584534044632,0.03818661320540818,0.03818661320540818,0.0167030554660749,0.0167030554660749
1733115600,20957.5,20963.25,20953,20960,1788,-0.16432875276858225,-0.16432875276858225,-0.16432875276858225,-0.16432875276858225,-0.16432875276858225,-0.16432875276858225,0.01192890373374687,0.01192890373374687,0.01192890373374687,0.01192890373374687
1733116500,20960.25,20960.5,20946,20954.25,3090,-0.19171687823001263,-0.19171687823001263,-0.19171687823001263,-0.19171687823001263,-0.19171687823001263,-0.19171687823001263,-0.01550757485387093,-0.01550757485387093,-0.01550757485387093,-0.01550757485387093
1733117400,20954.5,20963,20953,20962,1700,-0.15480244826025863,-0.15480244826025863,-0.15480244826025863,-0.15480244826025863,-0.15480244826025863,-0.15480244826025863,0.021472026720744365,0.021472026720744365,0.03579183468944618,0.03579183468944618
1733118300,20960.75,20965,20953.25,20954.5,1776,-0.19052609016647218,-0.19052609016647218,-0.19052609016647218,-0.19052609016647218,-0.19052609016647218,-0.19052609016647218,-0.014314684480496243,-0.014314684480496243,0,0
1733119200,20954.5,20956.75,20947.25,20949.5,2450,-0.21434185143728118,-0.21434185143728118,-0.21434185143728118,-0.21434185143728118,-0.21434185143728118,-0.21434185143728118,-0.023861223126297453,-0.023861223126297453,-0.023861223126297453,-0.023861223126297453
1733120100,20950.5,20951.5,20942.75,20947.25,2402,-0.22505894400914522,-0.22505894400914522,-0.22505894400914522,-0.22505894400914522,-0.22505894400914522,-0.22505894400914522,-0.0345987735331313,-0.0345987735331313,-0.0345987735331313,-0.0345987735331313
1733121000,20947.5,20950.25,20939.75,20941.25,2191,-0.25363785753411605,-0.25363785753411605,-0.25363785753411605,-0.25363785753411605,-0.25363785753411605,-0.25363785753411605,-0.06323224128468825,-0.06323224128468825,-0.02983649600190954,-0.02983649600190954
1733121900,20941.75,20953.5,20941.25,20953,2252,-0.19767081854771487,-0.19767081854771487,-0.19767081854771487,-0.19767081854771487,-0.19767081854771487,-0.19767081854771487,-0.007158366937889236,-0.007158366937889236,0.02625611648168039,0.02625611648168039
1733122800,20953.25,20958.75,20948.5,20950,2933,-0.2119602753102003,-0.2119602753102003,-0.2119602753102003,-0.2119602753102003,-0.2119602753102003,-0.2119602753102003,-0.015510720293987807,-0.015510720293987807,-0.015510720293987807,-0.015510720293987807
1733123700,20950,20956.5,20946.5,20951.75,2001,-0.20362475886541712,-0.20362475886541712,-0.20362475886541712,-0.20362475886541712,-0.20362475886541712,-0.20362475886541712,-0.007158793981840526,-0.007158793981840526,-0.007158793981840526,-0.007158793981840526
1733124600,20951.75,20955.75,20947.75,20955.75,1241,-0.1845721498487699,-0.1845721498487699,-0.1845721498487699,-0.1845721498487699,-0.1845721498487699,-0.1845721498487699,0.011931323303067544,0.011931323303067544,0.019091484004916056,0.019091484004916056
1733125500,20955.25,20962.75,20950.25,20961.5,2207,-0.15718402438733953,-0.15718402438733953,-0.15718402438733953,-0.15718402438733953,-0.15718402438733953,-0.15718402438733953,0.03937336690012289,0.03937336690012289,0.04653549226198289,0.04653549226198289
1733126400,20961.5,20973.75,20953.5,20954.75,5380,-0.1893353021029317,-0.1893353021029317,-0.1893353021029317,-0.1893353021029317,-0.1893353021029317,-0.1893353021029317,-0.03220189394842926,-0.03220189394842926,-0.03220189394842926,-0.03220189394842926
